Time,Payload,Payload_Occurrences
15:52:57.692,21 24 54 46 53 4B 20 39,36
15:52:57.707,22 33 2E 30 AA AA AA AA,36
15:52:57.752,10 10 0C 0E 05 05 10 55,11
15:52:57.763,21 23 D2 39 20 31 20 37,36
15:52:57.771,22 58 46 4D AA AA AA AA,35
15:52:57.821,10 10 0C 0E 06 05 D2 20,5
15:52:57.834,21 22 CE 44 6C 66 20 4B,35
15:52:57.843,22 75 6C 74 AA AA AA AA,53
15:52:57.871,10 10 0C 0E 07 05 D4 51,5
15:52:57.883,21 23 46 4E 44 52 20 39,33
15:52:57.891,22 30 2C 33 AA AA AA AA,32
15:52:57.921,10 10 0C 0E 08 05 D3 58,6
15:52:57.929,21 28 78 52 41 44 49 4F,36
15:52:57.941,22 20 48 48 AA AA AA AA,35
15:52:57.971,10 10 0C 0E 09 05 D7 5B,6
15:52:57.990,21 26 52 4B 4C 41 53 53,36
15:52:58.004,22 49 4B 20 AA AA AA AA,35
15:52:58.037,10 10 0C 0E 0A 05 D3 82,6
15:52:58.042,21 22 38 00 00 00 00 00,7
15:52:58.052,22 00 00 00 AA AA AA AA,60
15:52:58.084,10 10 0C 0E 0B 05 D3 83,6
15:52:58.091,21 26 C0 4E 44 52 20 4B,17
15:52:58.102,22 75 6C 74 AA AA AA AA,53
15:52:58.135,10 10 0C 0E 0C 05 D3 84,6
15:52:58.144,21 24 0E 00 00 00 00 00,14
15:52:58.151,22 00 00 00 AA AA AA AA,60
15:52:58.183,10 10 0C 0E 0D 05 D3 88,10
15:52:58.189,21 27 4C 00 00 00 00 00,25
15:52:58.192,22 00 00 00 AA AA AA AA,60
15:52:58.222,10 10 0C 0E 0E 05 D3 E1,12
15:52:58.235,21 22 F6 4E 44 52 20 31,34
15:52:58.242,22 20 53 48 AA AA AA AA,34
15:53:01.892,10 44 09 00 00 05 4A 61,5
15:53:01.903,21 73 6F 6E 20 44 65 72,5
15:53:01.920,22 75 6C 6F 20 2F 20 54,5
15:53:01.924,23 61 6B 65 20 59 6F 75,5
15:53:01.939,24 20 44 61 6E 63 69 6E,5
15:53:01.943,25 67 20 20 20 20 20 20,5
15:53:01.952,26 20 20 20 20 20 20 20,18
15:53:01.964,27 20 20 20 20 20 20 20,26
15:53:01.970,28 20 20 20 20 20 20 20,26
15:53:01.975,29 20 20 20 20 20 20 AA,34
15:53:17.824,10 10 0C 0E 01 05 1B 16,12
15:53:17.830,21 25 EE 45 4E 45 52 47,37
