Time,Payload,Payload_Occurrences
15:52:02.530,00 00 7F 7F 41 14 FF,1616
15:52:55.055,00 00 7F 3F 41 14 FF,1
15:52:55.154,00 00 7F 3F 41 10 FF,2123
15:53:02.758,00 00 7F 7F 41 10 FF,2
15:53:02.958,00 00 7F 7F 41 14 FF,1616
15:53:20.566,00 00 7F 3F 41 10 FF,2123
15:58:13.001,00 00 7F 7F 41 14 FF,1616
15:58:38.513,00 00 7F 7F C1 14 FF,3675
16:00:32.964,00 00 7F 7F 41 14 FF,1616
16:01:01.377,00 00 7F 7F C1 14 FF,3675
16:01:11.282,00 00 7F 7F 41 14 FF,1616
16:01:11.682,00 00 7F 7F C1 14 FF,3675
16:01:12.983,00 00 7F 7F 41 14 FF,1616
16:01:16.685,00 00 7F 7F C1 14 FF,3675
16:01:25.088,00 00 7F 7F 41 14 FF,1616
16:01:26.389,00 00 7F 7F C1 14 FF,3675
16:01:46.197,00 00 7F 7F 41 14 FF,1616
16:01:48.999,00 00 7F 7F C1 14 FF,3675
16:01:55.602,00 00 7F 7F 41 14 FF,1616
16:02:21.713,00 00 7F 7F C1 14 FF,3675
16:02:42.522,00 00 7F 7F 41 14 FF,1616
16:02:43.522,00 00 7F 7F C1 14 FF,3675
16:02:48.026,00 00 7F 7F 41 14 FF,1616
16:02:49.126,00 00 7F 7F C1 14 FF,3675
16:02:51.627,00 00 7F 7F 41 14 FF,1616
16:02:53.028,00 00 7F 7F C1 14 FF,3675
