Time,Payload,Payload_Occurrences
15:52:02.550,05 10 40 00 00 82 00 05,2244
15:52:38.406,05 10 40 00 00 82 10 05,126
15:52:42.208,05 10 40 00 00 82 00 05,2244
15:52:54.974,00 10 40 00 00 00 00 05,4
15:52:55.059,00 10 40 00 00 00 00 04,1
15:52:55.098,00 10 40 00 00 00 00 00,23
15:52:55.534,00 00 00 00 00 00 00 00,5285
15:53:02.862,05 00 00 00 00 01 00 01,1
15:53:02.899,05 00 00 00 00 11 00 05,2
15:53:02.983,05 00 00 00 00 15 00 05,77
15:53:06.063,05 00 00 00 00 16 00 05,122
15:53:10.942,05 00 00 00 00 96 00 05,2
15:53:11.022,05 00 00 00 00 86 00 05,3
15:53:11.141,05 00 00 00 00 82 00 05,10
15:53:11.542,05 10 00 00 00 82 00 05,2
15:53:11.623,05 10 40 00 00 82 00 05,2244
15:53:20.470,00 10 40 00 00 00 00 05,4
15:53:20.547,00 10 40 00 00 00 00 00,23
15:53:21.026,00 00 40 00 00 00 00 00,2
15:53:21.106,00 00 00 00 00 00 00 00,5285
15:58:12.880,05 00 00 00 00 81 00 40,1
15:58:12.920,05 00 00 00 00 81 00 41,2
15:58:13.005,05 00 00 00 00 81 00 45,11
15:58:13.441,05 10 00 00 00 81 00 45,3
15:58:13.561,05 10 40 00 00 81 00 45,63
15:58:16.082,05 10 40 00 00 82 00 45,559
15:58:38.455,05 50 40 00 44 82 00 45,170
15:58:45.256,05 50 40 00 44 82 00 05,7885
16:00:25.269,05 50 40 00 44 82 10 05,191
16:00:32.904,05 10 40 00 00 82 10 05,126
16:00:34.149,05 10 40 00 00 82 00 05,2244
16:01:01.280,05 50 40 00 44 82 00 05,7885
16:01:14.849,05 10 40 00 00 82 00 05,2244
16:01:16.605,05 50 40 00 44 82 00 05,7885
16:01:23.692,05 54 41 00 44 82 01 05,744
16:01:25.051,05 14 41 00 00 82 01 05,79
16:01:26.329,05 54 41 00 44 82 01 05,744
16:01:45.300,05 50 40 00 44 82 00 05,7885
16:01:46.139,05 10 40 00 00 82 00 05,2244
16:01:48.940,05 50 40 00 44 82 00 05,7885
16:01:53.622,05 50 40 00 44 82 00 15,97
16:01:55.542,05 10 40 00 00 82 00 15,647
16:02:21.673,05 50 40 00 44 82 00 15,97
16:02:23.674,05 50 40 00 44 82 00 05,7885
16:02:38.761,05 54 41 00 44 82 01 05,744
16:02:42.530,05 14 41 00 00 82 01 05,79
16:02:43.402,05 54 41 00 44 82 01 05,744
16:02:47.965,05 14 41 00 00 82 01 05,79
16:02:49.006,05 54 41 00 44 82 01 05,744
16:02:51.607,05 50 40 00 44 82 00 05,7885
16:02:51.647,05 10 40 00 00 82 00 05,2244
16:02:52.970,05 50 40 00 44 82 00 05,7885
