Time,Payload,Payload_Occurrences
15:52:02.565,00 00 C0 00 B2 4A 33 00,4766
16:01:15.684,00 27 C0 00 B2 4A 33 00,22
16:01:15.786,00 32 C0 00 B2 4A 33 00,25
16:01:15.884,00 3D C0 00 B2 4A 33 00,7
16:01:16.084,00 49 C0 00 B2 4A 33 00,5
16:01:16.288,00 4E C0 00 B2 4A 33 00,8
16:01:16.384,00 54 C0 00 B2 4A 33 00,3
16:01:16.584,00 5F C0 00 B2 4A 33 00,3
16:01:16.684,00 6A C0 00 B2 4A 33 00,16
16:01:16.786,00 70 C0 00 B2 4A 33 00,9
16:01:17.084,00 5F C0 00 B2 4A 33 00,3
16:01:17.184,00 49 C0 00 B2 4A 33 00,5
16:01:17.287,00 38 C0 00 B2 4A 33 00,12
16:01:17.386,00 32 C0 00 B2 4A 33 00,25
16:01:17.487,00 27 C0 00 B2 4A 33 00,22
16:01:17.884,00 32 C0 00 B2 4A 33 00,25
16:01:17.984,00 38 C0 00 B2 4A 33 00,12
16:01:18.287,00 32 C0 00 B2 4A 33 00,25
16:01:18.387,00 2D C0 00 B2 4A 33 00,11
16:01:18.584,00 27 C0 00 B2 4A 33 00,22
16:01:18.785,00 2D C0 00 B2 4A 33 00,11
16:01:18.884,00 38 C0 00 B2 4A 33 00,12
16:01:18.984,00 3D C0 00 B2 4A 33 00,7
16:01:19.287,00 38 C0 00 B2 4A 33 00,12
16:01:19.387,00 32 C0 00 B2 4A 33 00,25
16:01:19.487,00 27 C0 00 B2 4A 33 00,22
16:01:19.684,00 21 C0 00 B2 4A 33 00,12
16:01:19.785,00 1C C0 00 B2 4A 33 00,15
16:01:20.584,00 16 C0 00 B2 4A 33 00,20
16:01:20.785,00 10 C0 00 B2 4A 33 00,12
16:01:21.084,00 0B C0 00 B2 4A 33 00,5
16:01:21.184,00 00 C0 00 B2 4A 33 00,4766
16:01:25.684,00 3D C0 00 B2 4A 33 00,7
16:01:25.785,00 54 C0 00 B2 4A 33 00,3
16:01:25.885,00 6A C0 00 B2 4A 33 00,16
16:01:25.985,00 81 C0 00 B2 4A 33 00,6
16:01:26.085,00 8C C0 00 B2 4A 33 00,2
16:01:26.184,00 9D C0 00 B2 4A 33 00,3
16:01:26.287,00 A8 C0 00 B2 4A 33 00,1
16:01:26.386,00 B9 C0 00 B2 4A 33 00,2
16:01:26.486,00 BF C0 00 B2 4A 33 00,2
16:01:26.584,00 CA C0 00 B2 4A 33 00,5
16:01:26.685,00 D0 C0 00 B2 4A 33 00,6
16:01:27.185,00 CA C0 00 B2 4A 33 00,5
16:01:27.486,00 D5 C0 00 B2 4A 33 00,3
16:01:27.584,00 DB C0 00 B2 4A 33 00,3
16:01:27.785,00 E1 C0 00 B2 4A 33 00,5
16:01:28.184,00 DB C0 00 B2 4A 33 00,3
16:01:28.287,00 D5 C0 00 B2 4A 33 00,3
16:01:28.385,00 CA C0 00 B2 4A 33 00,5
16:01:28.484,00 BF C0 00 B2 4A 33 00,2
16:01:28.584,00 B4 C0 00 B2 4A 33 00,1
16:01:28.684,00 AE C0 00 B2 4A 33 00,2
16:01:28.786,00 A3 C0 00 B2 4A 33 00,2
16:01:28.885,00 9D C0 00 B2 4A 33 00,3
16:01:28.985,00 97 C0 00 B2 4A 33 00,1
16:01:29.085,00 92 C0 00 B2 4A 33 00,2
16:01:29.185,00 8C C0 00 B2 4A 33 00,2
16:01:29.288,00 87 C0 00 B2 4A 33 00,2
16:01:29.384,00 81 C0 00 B2 4A 33 00,6
16:01:29.485,00 76 C0 00 B2 4A 33 00,5
16:01:29.685,00 6A C0 00 B2 4A 33 00,16
16:01:29.885,00 65 C0 00 B2 4A 33 00,5
16:01:30.185,00 6A C0 00 B2 4A 33 00,16
16:01:30.785,00 70 C0 00 B2 4A 33 00,9
16:01:30.884,00 76 C0 00 B2 4A 33 00,5
16:01:30.985,00 7B C0 00 B2 4A 33 00,2
16:01:31.085,00 81 C0 00 B2 4A 33 00,6
16:01:31.387,00 7B C0 00 B2 4A 33 00,2
16:01:31.485,00 76 C0 00 B2 4A 33 00,5
16:01:31.585,00 6A C0 00 B2 4A 33 00,16
16:01:31.985,00 70 C0 00 B2 4A 33 00,9
16:01:32.385,00 6A C0 00 B2 4A 33 00,16
16:01:32.585,00 65 C0 00 B2 4A 33 00,5
16:01:32.685,00 5F C0 00 B2 4A 33 00,3
16:01:32.786,00 5A C0 00 B2 4A 33 00,3
16:01:32.885,00 4E C0 00 B2 4A 33 00,8
16:01:33.485,00 49 C0 00 B2 4A 33 00,5
16:01:33.585,00 43 C0 00 B2 4A 33 00,3
16:01:33.786,00 38 C0 00 B2 4A 33 00,12
16:01:33.885,00 32 C0 00 B2 4A 33 00,25
16:01:34.587,00 2D C0 00 B2 4A 33 00,11
16:01:35.187,00 32 C0 00 B2 4A 33 00,25
16:01:35.887,00 38 C0 00 B2 4A 33 00,12
16:01:36.387,00 32 C0 00 B2 4A 33 00,25
16:01:36.985,00 2D C0 00 B2 4A 33 00,11
16:01:37.086,00 27 C0 00 B2 4A 33 00,22
16:01:37.186,00 21 C0 00 B2 4A 33 00,12
16:01:37.386,00 1C C0 00 B2 4A 33 00,15
16:01:37.885,00 21 C0 00 B2 4A 33 00,12
16:01:37.985,00 27 C0 00 B2 4A 33 00,22
16:01:38.585,00 21 C0 00 B2 4A 33 00,12
16:01:39.185,00 27 C0 00 B2 4A 33 00,22
16:01:39.788,00 21 C0 00 B2 4A 33 00,12
16:01:39.885,00 1C C0 00 B2 4A 33 00,15
