Time,Payload,Payload_Occurrences
15:52:13.188,09 00 00,34
15:52:16.822,0C 00 01,36
15:52:16.871,0C 00 02,36
15:52:16.920,0C 00 03,37
15:52:16.971,0C 00 04,35
15:52:17.021,0C 00 05,35
15:52:17.070,0C 00 06,36
15:52:17.121,0C 00 07,35
15:52:17.180,0C 00 08,36
15:52:17.221,0C 00 09,36
15:52:17.280,0C 00 0A,37
15:52:17.330,0C 00 0B,36
15:52:17.379,0C 00 0C,37
15:52:17.451,0C 00 0D,32
15:52:17.502,0C 00 0E,22
15:52:37.141,0C 00 01,36
15:52:37.185,0C 00 02,36
15:52:37.230,0C 00 03,37
15:52:37.280,0C 00 04,35
15:52:37.333,0C 00 05,35
15:52:37.396,0C 00 06,36
15:52:37.440,0C 00 07,35
15:52:37.502,0C 00 08,36
15:52:37.560,0C 00 09,36
15:52:37.629,0C 00 0A,37
15:52:37.645,09 00 00,34
15:52:37.685,0C 00 0B,36
15:52:37.818,0C 00 0C,37
15:52:37.865,0C 00 0D,32
15:52:37.918,0C 00 0E,22
15:52:57.519,0C 00 01,36
15:52:57.581,0C 00 02,36
15:52:57.632,0C 00 03,37
15:52:57.681,0C 00 04,35
15:52:57.750,0C 00 05,35
15:52:57.818,0C 00 06,36
15:52:57.869,0C 00 07,35
15:52:57.919,0C 00 08,36
15:52:57.969,0C 00 09,36
15:52:58.032,0C 00 0A,37
15:52:58.082,0C 00 0B,36
15:52:58.132,0C 00 0C,37
15:52:58.181,0C 00 0D,32
15:52:58.220,0C 00 0E,22
15:53:01.881,09 00 00,34
15:53:17.820,0C 00 01,36
15:53:17.870,0C 00 02,36
15:53:17.916,0C 00 03,37
15:53:17.959,0C 00 04,35
15:53:18.003,0C 00 05,35
15:53:18.057,0C 00 06,36
15:53:18.102,0C 00 07,35
15:53:18.150,0C 00 08,36
15:53:18.190,0C 00 09,36
15:53:18.238,0C 00 0A,37
15:53:18.290,0C 00 0B,36
15:53:18.353,0C 00 0C,37
15:53:18.400,0C 00 0D,32
15:53:18.453,0C 00 0E,22
15:53:26.327,09 00 00,34
15:53:38.150,0C 00 01,36
15:53:38.199,0C 00 02,36
15:53:38.256,0C 00 03,37
15:53:38.329,0C 00 04,35
15:53:38.398,0C 00 05,35
15:53:38.459,0C 00 06,36
15:53:38.522,0C 00 07,35
15:53:38.583,0C 00 08,36
15:53:38.653,0C 00 09,36
15:53:38.701,0C 00 0A,37
15:53:38.748,0C 00 0B,36
15:53:38.801,0C 00 0C,37
15:53:38.850,0C 00 0D,32
15:53:38.897,0C 00 0E,22
15:54:39.144,0C 00 01,36
15:54:39.176,09 00 00,34
15:54:39.198,0C 00 02,36
15:54:39.367,0C 00 03,37
15:54:39.425,0C 00 04,35
15:54:39.484,0C 00 05,35
15:54:39.559,0C 00 06,36
15:54:39.626,0C 00 07,35
15:54:39.674,0C 00 08,36
15:54:39.717,0C 00 09,36
15:54:39.765,0C 00 0A,37
15:54:39.818,0C 00 0B,36
15:54:39.867,0C 00 0C,37
15:54:39.917,0C 00 0D,32
15:54:59.539,0C 00 01,36
15:54:59.588,0C 00 02,36
15:54:59.665,0C 00 03,37
15:54:59.721,0C 00 04,35
15:54:59.769,0C 00 05,35
15:54:59.816,0C 00 06,36
15:54:59.869,0C 00 07,35
15:54:59.917,0C 00 08,36
15:54:59.964,0C 00 09,36
15:55:00.010,0C 00 0A,37
15:55:00.030,09 00 00,34
15:55:00.069,0C 00 0B,36
15:55:00.216,0C 00 0C,37
15:55:00.285,0C 00 0D,32
15:55:00.339,0C 00 0E,22
15:55:04.234,09 00 00,34
15:55:19.876,0C 00 01,36
15:55:19.936,0C 00 02,36
15:55:20.009,0C 00 03,37
15:55:20.055,0C 00 04,35
15:55:20.109,0C 00 05,35
15:55:20.155,0C 00 06,36
15:55:20.215,0C 00 07,35
15:55:20.280,0C 00 08,36
15:55:20.340,0C 00 09,36
15:55:20.415,0C 00 0A,37
15:55:20.470,0C 00 0B,36
15:55:20.536,0C 00 0C,37
15:55:20.590,0C 00 0D,32
15:55:20.658,0C 00 0E,22
15:55:27.895,09 00 00,34
15:55:40.142,0C 00 01,36
15:55:40.200,0C 00 02,36
15:55:40.247,0C 00 03,37
15:55:40.317,0C 00 04,35
15:55:40.359,0C 00 05,35
15:55:40.417,0C 00 06,36
15:55:40.479,0C 00 07,35
15:55:40.550,0C 00 08,36
15:55:40.619,0C 00 09,36
15:55:40.679,0C 00 0A,37
15:55:40.741,0C 00 0B,36
15:55:40.795,0C 00 0C,37
15:55:40.857,0C 00 0D,32
15:55:40.909,0C 00 0E,22
15:55:52.338,09 00 00,34
15:56:00.530,0C 00 01,36
15:56:00.617,0C 00 02,36
15:56:00.671,0C 00 03,37
15:56:00.713,0C 00 04,35
15:56:00.753,0C 00 05,35
15:56:00.794,0C 00 06,36
15:56:00.852,0C 00 07,35
15:56:00.908,0C 00 08,36
15:56:00.952,0C 00 09,36
15:56:01.009,0C 00 0A,37
15:56:01.057,0C 00 0B,36
15:56:01.119,0C 00 0C,37
15:56:01.161,0C 00 0D,32
15:56:16.571,09 00 00,34
15:56:20.817,0C 00 01,36
15:56:20.870,0C 00 02,36
15:56:20.917,0C 00 03,37
15:56:20.962,0C 00 04,35
15:56:21.011,0C 00 05,35
