Time,Payload,Payload_Occurrences
15:52:02.560,1,5772
15:52:02.761,0B,1430
15:52:02.860,1,5772
15:52:03.262,0B,1430
15:52:03.361,1,5772
15:52:03.761,0B,1430
15:52:03.862,1,5772
15:52:04.261,0B,1430
15:52:04.362,1,5772
15:52:04.762,0B,1430
15:52:04.861,1,5772
15:52:05.261,0B,1430
15:52:05.361,1,5772
15:52:05.761,0B,1430
15:52:05.862,1,5772
15:52:06.262,0B,1430
15:52:06.363,1,5772
15:52:06.763,0B,1430
15:52:06.862,1,5772
15:52:07.262,0B,1430
15:52:07.362,1,5772
15:52:07.762,0B,1430
15:52:07.862,1,5772
15:52:08.262,0B,1430
15:52:08.364,1,5772
15:52:08.763,0B,1430
15:52:08.862,1,5772
15:52:09.263,0B,1430
15:52:09.363,1,5772
15:52:09.763,0B,1430
15:52:09.864,1,5772
15:52:10.263,0B,1430
15:52:10.364,1,5772
15:52:10.764,0B,1430
15:52:10.863,1,5772
15:52:11.263,0B,1430
15:52:11.363,1,5772
15:52:11.763,0B,1430
15:52:11.863,1,5772
15:52:12.264,0B,1430
15:52:12.365,1,5772
15:52:12.765,0B,1430
15:52:12.865,1,5772
15:52:13.263,0B,1430
15:52:13.363,1,5772
15:52:13.763,0B,1430
15:52:13.863,1,5772
15:52:14.264,0B,1430
15:52:14.365,1,5772
15:52:14.765,0B,1430
15:52:14.864,1,5772
15:52:15.265,0B,1430
15:52:15.364,1,5772
15:52:15.766,0B,1430
15:52:15.866,1,5772
15:52:16.265,0B,1430
15:52:16.368,1,5772
15:52:16.769,0B,1430
15:52:16.866,1,5772
15:52:17.265,0B,1430
15:52:17.366,1,5772
15:52:17.766,0B,1430
15:52:17.867,1,5772
15:52:18.266,0B,1430
15:52:18.368,1,5772
15:52:18.770,0B,1430
15:52:18.868,1,5772
15:52:19.266,0B,1430
15:52:19.367,1,5772
15:52:19.768,0B,1430
15:52:19.868,1,5772
15:52:20.267,0B,1430
15:52:20.369,1,5772
15:52:20.770,0B,1430
15:52:20.868,1,5772
15:52:21.267,0B,1430
15:52:21.368,1,5772
15:52:21.769,0B,1430
15:52:21.869,1,5772
15:52:22.267,0B,1430
15:52:22.369,1,5772
15:52:22.771,0B,1430
15:52:22.869,1,5772
15:52:23.268,0B,1430
15:52:23.369,1,5772
15:52:23.770,0B,1430
15:52:23.869,1,5772
15:52:24.270,0B,1430
15:52:24.370,1,5772
15:52:24.771,0B,1430
15:52:24.870,1,5772
15:52:25.270,0B,1430
15:52:25.370,1,5772
15:52:25.770,0B,1430
15:52:25.870,1,5772
15:52:26.270,0B,1430
15:52:26.371,1,5772
15:52:26.772,0B,1430
15:52:26.870,1,5772
15:52:27.271,0B,1430
15:52:27.370,1,5772
15:52:27.771,0B,1430
15:52:27.871,1,5772
15:52:28.270,0B,1430
15:52:28.371,1,5772
15:52:28.772,0B,1430
15:52:28.871,1,5772
15:52:29.271,0B,1430
15:52:29.370,1,5772
15:52:29.772,0B,1430
15:52:29.871,1,5772
15:52:30.271,0B,1430
15:52:30.372,1,5772
15:52:30.773,0B,1430
15:52:30.872,1,5772
15:52:31.271,0B,1430
15:52:31.371,1,5772
15:52:31.772,0B,1430
15:52:31.871,1,5772
15:52:32.272,0B,1430
15:52:32.372,1,5772
15:52:32.773,0B,1430
15:52:32.871,1,5772
15:52:33.272,0B,1430
15:52:33.371,1,5772
15:52:33.772,0B,1430
15:52:33.872,1,5772
15:52:34.271,0B,1430
15:52:34.372,1,5772
15:52:34.773,0B,1430
15:52:34.871,1,5772
15:52:35.273,0B,1430
15:52:35.372,1,5772
15:52:35.772,0B,1430
15:52:35.872,1,5772
15:52:36.273,0B,1430
15:52:36.373,1,5772
15:52:36.774,0B,1430
15:52:36.872,1,5772
15:52:37.272,0B,1430
15:52:37.372,1,5772
