Time,Payload,Payload_Occurrences
15:52:02.556,50 21 00 93 00 01 57 FF,3414
15:52:29.366,50 22 00 93 00 01 57 FF,3509
15:52:37.869,50 21 00 93 00 01 57 FF,3414
15:52:42.170,50 22 00 93 00 01 57 FF,3509
15:58:12.883,50 0A 00 13 00 01 37 FF,9
15:58:13.784,50 0A 00 12 00 01 37 FF,248
15:58:38.593,50 0A 00 52 00 01 37 FF,10
15:58:39.593,50 0A 00 92 00 01 37 FF,57
15:58:45.295,50 22 00 93 00 01 57 FF,3509
16:00:24.727,50 21 00 93 00 01 57 FF,3414
16:00:34.030,50 21 08 93 00 01 57 FF,11
16:00:34.130,50 21 04 93 00 01 57 FF,160
16:00:50.136,50 21 08 93 00 01 57 FF,11
16:00:51.136,50 21 00 93 00 01 57 FF,3414
