Time,Payload,Payload_Occurrences
15:52:02.612,50 20 00 00 80 00,3007
15:52:29.321,50 20 05 00 80 00,3581
15:52:37.823,50 20 00 00 9B 00,1
15:52:37.924,50 20 00 00 9A 00,2
15:52:38.023,50 20 00 00 92 00,552
15:52:42.125,50 20 05 00 89 00,15
15:52:43.626,50 20 05 00 80 00,3581
15:54:45.665,50 80 05 00 80 00,53
15:54:48.366,50 60 05 00 80 00,132
15:54:56.168,50 40 05 00 80 00,52
15:54:58.769,50 20 05 00 80 00,3581
15:55:01.670,50 80 05 00 80 00,53
15:55:04.271,50 60 05 00 80 00,132
15:55:09.674,50 40 05 00 80 00,52
15:55:12.274,50 20 05 00 80 00,3581
16:00:24.778,50 20 00 00 9A 00,2
16:00:24.877,50 20 00 00 92 00,552
16:01:15.994,50 20 00 00 89 00,14
16:01:17.394,50 20 00 00 80 00,3007
