Time,Payload,Payload_Occurrences
15:52:02.531,1,5836
15:52:02.932,0B,1449
15:52:03.032,1,5836
15:52:03.433,0B,1449
15:52:03.532,1,5836
15:52:03.932,0B,1449
15:52:04.032,1,5836
15:52:04.433,0B,1449
15:52:04.532,1,5836
15:52:04.933,0B,1449
15:52:05.033,1,5836
15:52:05.434,0B,1449
15:52:05.533,1,5836
15:52:05.933,0B,1449
15:52:06.033,1,5836
15:52:06.434,0B,1449
15:52:06.533,1,5836
15:52:06.934,0B,1449
15:52:07.034,1,5836
15:52:07.435,0B,1449
15:52:07.534,1,5836
15:52:07.935,0B,1449
15:52:08.035,1,5836
15:52:08.436,0B,1449
15:52:08.535,1,5836
15:52:08.936,0B,1449
15:52:09.036,1,5836
15:52:09.436,0B,1449
15:52:09.536,1,5836
15:52:09.936,0B,1449
15:52:10.036,1,5836
15:52:10.437,0B,1449
15:52:10.536,1,5836
15:52:10.936,0B,1449
15:52:11.036,1,5836
15:52:11.438,0B,1449
15:52:11.537,1,5836
15:52:11.937,0B,1449
15:52:12.037,1,5836
15:52:12.438,0B,1449
15:52:12.537,1,5836
15:52:12.937,0B,1449
15:52:13.037,1,5836
15:52:13.439,0B,1449
15:52:13.538,1,5836
15:52:13.938,0B,1449
15:52:14.038,1,5836
15:52:14.439,0B,1449
15:52:14.538,1,5836
15:52:14.938,0B,1449
15:52:15.039,1,5836
15:52:15.439,0B,1449
15:52:15.539,1,5836
15:52:15.939,0B,1449
15:52:16.039,1,5836
15:52:16.440,0B,1449
15:52:16.539,1,5836
15:52:16.939,0B,1449
15:52:17.039,1,5836
15:52:17.440,0B,1449
15:52:17.540,1,5836
15:52:17.939,0B,1449
15:52:18.040,1,5836
15:52:18.441,0B,1449
15:52:18.540,1,5836
15:52:18.940,0B,1449
15:52:19.040,1,5836
15:52:19.441,0B,1449
15:52:19.540,1,5836
15:52:19.940,0B,1449
15:52:20.041,1,5836
15:52:20.441,0B,1449
15:52:20.541,1,5836
15:52:20.941,0B,1449
15:52:21.041,1,5836
15:52:21.442,0B,1449
15:52:21.541,1,5836
15:52:21.941,0B,1449
15:52:22.041,1,5836
15:52:22.446,0B,1449
15:52:22.542,1,5836
15:52:22.942,0B,1449
15:52:23.042,1,5836
15:52:23.446,0B,1449
15:52:23.542,1,5836
15:52:23.942,0B,1449
15:52:24.042,1,5836
15:52:24.447,0B,1449
15:52:24.543,1,5836
15:52:24.944,0B,1449
15:52:25.044,1,5836
15:52:25.446,0B,1449
15:52:25.544,1,5836
15:52:25.947,0B,1449
15:52:26.047,1,5836
15:52:26.447,0B,1449
15:52:26.547,1,5836
15:52:26.945,0B,1449
15:52:27.045,1,5836
15:52:27.447,0B,1449
15:52:27.545,1,5836
15:52:27.945,0B,1449
15:52:28.047,1,5836
15:52:28.448,0B,1449
15:52:28.545,1,5836
15:52:28.947,0B,1449
15:52:29.046,1,5836
15:52:29.448,0B,1449
15:52:29.548,1,5836
15:52:29.946,0B,1449
15:52:30.049,1,5836
15:52:30.450,0B,1449
15:52:30.546,1,5836
15:52:30.946,0B,1449
15:52:31.046,1,5836
15:52:31.449,0B,1449
15:52:31.546,1,5836
15:52:31.948,0B,1449
15:52:32.050,1,5836
15:52:32.450,0B,1449
15:52:32.547,1,5836
15:52:32.946,0B,1449
15:52:33.050,1,5836
15:52:33.450,0B,1449
15:52:33.550,1,5836
15:52:33.947,0B,1449
15:52:34.051,1,5836
15:52:34.451,0B,1449
15:52:34.550,1,5836
15:52:34.950,0B,1449
15:52:35.050,1,5836
15:52:35.450,0B,1449
15:52:35.551,1,5836
15:52:35.950,0B,1449
15:52:36.051,1,5836
15:52:36.451,0B,1449
15:52:36.550,1,5836
15:52:36.950,0B,1449
15:52:37.050,1,5836
15:52:37.450,0B,1449
15:52:37.550,1,5836
15:52:37.951,0B,1449
15:52:38.050,1,5836
15:52:38.452,0B,1449
15:52:38.551,1,5836
15:52:38.949,0B,1449
15:52:39.050,1,5836
15:52:39.451,0B,1449
15:52:39.549,1,5836
15:52:39.949,0B,1449
15:52:40.051,1,5836
15:52:40.452,0B,1449
15:52:40.549,1,5836
15:52:40.952,0B,1449
15:52:41.049,1,5836
15:52:41.452,0B,1449
15:52:41.552,1,5836
15:52:41.951,0B,1449
15:52:42.052,1,5836
15:52:42.453,0B,1449
15:52:42.550,1,5836
15:52:42.950,0B,1449
15:52:43.052,1,5836
15:52:43.452,0B,1449
15:52:43.550,1,5836
15:52:43.952,0B,1449
15:52:44.054,1,5836
15:52:44.456,0B,1449
15:52:44.553,1,5836
15:52:44.952,0B,1449
15:52:45.052,1,5836
15:52:45.454,0B,1449
15:52:45.552,1,5836
15:52:45.953,0B,1449
15:52:46.055,1,5836
15:52:46.455,0B,1449
15:52:46.554,1,5836
15:52:46.956,0B,1449
15:52:47.053,1,5836
15:52:47.455,0B,1449
15:52:47.555,1,5836
15:52:47.955,0B,1449
15:52:48.055,1,5836
15:52:48.457,0B,1449
15:52:48.555,1,5836
15:52:48.956,0B,1449
15:52:49.055,1,5836
15:52:49.456,0B,1449
15:52:49.555,1,5836
15:52:49.957,0B,1449
15:52:50.056,1,5836
15:52:50.458,0B,1449
15:52:50.556,1,5836
15:52:50.956,0B,1449
15:52:51.055,1,5836
15:52:51.457,0B,1449
15:52:51.556,1,5836
15:52:51.957,0B,1449
15:52:52.057,1,5836
15:52:52.459,0B,1449
15:52:52.556,1,5836
15:52:52.958,0B,1449
15:52:53.056,1,5836
15:52:53.457,0B,1449
15:52:53.557,1,5836
15:52:53.957,0B,1449
15:52:54.058,1,5836
15:52:54.458,0B,1449
15:52:54.557,1,5836
15:52:54.958,0B,1449
15:52:55.057,1,5836
15:52:55.458,0B,1449
15:52:55.558,1,5836
15:52:55.958,0B,1449
15:52:56.059,1,5836
15:52:56.459,0B,1449
15:52:56.558,1,5836
15:52:56.958,0B,1449
15:52:57.058,1,5836
15:52:57.458,0B,1449
15:52:57.558,1,5836
15:52:57.958,0B,1449
15:52:58.059,1,5836
15:52:58.460,0B,1449
15:52:58.558,1,5836
15:52:58.960,0B,1449
15:52:59.059,1,5836
15:52:59.459,0B,1449
15:52:59.559,1,5836
15:52:59.959,0B,1449
15:53:00.060,1,5836
15:53:00.460,0B,1449
15:53:00.559,1,5836
15:53:00.959,0B,1449
15:53:01.059,1,5836
15:53:01.460,0B,1449
15:53:01.559,1,5836
15:53:01.961,0B,1449
15:53:02.060,1,5836
15:53:02.461,0B,1449
15:53:02.560,1,5836
15:53:02.960,0B,1449
15:53:03.059,1,5836
15:53:03.461,0B,1449
15:53:03.560,1,5836
15:53:03.960,0B,1449
15:53:04.061,1,5836
15:53:04.461,0B,1449
