Time,Payload,Payload_Occurrences
15:52:02.531,4B 8B 01 00 FF 82 04,421
15:52:05.032,4C 8B 01 00 FF 82 04,1
15:52:05.132,4B 8B 01 00 FF 82 04,421
15:52:41.450,4B 8A 01 00 FF 82 04,132
15:52:41.649,4B 8B 01 00 FF 82 04,421
15:52:42.949,4B 8A 01 00 FF 82 04,132
15:52:43.050,4B 8B 01 00 FF 82 04,421
15:52:43.150,4B 8A 01 00 FF 82 04,132
15:52:43.250,4B 8B 01 00 FF 82 04,421
15:52:43.550,4B 8A 01 00 FF 82 04,132
15:52:43.650,4B 8B 01 00 FF 82 04,421
15:52:43.750,4B 8A 01 00 FF 82 04,132
15:52:43.850,4B 8B 01 00 FF 82 04,421
15:52:44.053,4B 8A 01 00 FF 82 04,132
15:52:44.150,4B 8B 01 00 FF 82 04,421
15:52:44.451,4B 8A 01 00 FF 82 04,132
15:52:44.651,4B 8B 01 00 FF 82 04,421
15:52:44.751,4B 8A 01 00 FF 82 04,132
15:52:44.851,4B 8B 01 00 FF 82 04,421
15:52:44.951,4B 8A 01 00 FF 82 04,132
15:52:45.051,4B 8B 01 00 FF 82 04,421
15:52:45.251,4B 8A 01 00 FF 82 04,132
15:52:45.451,4B 8B 01 00 FF 82 04,421
15:52:45.851,4B 8A 01 00 FF 82 04,132
15:52:46.251,4B 8B 01 00 FF 82 04,421
15:52:46.451,4B 8A 01 00 FF 82 04,132
15:52:55.457,4C 8A 01 00 FF 82 04,572
15:52:55.557,4B 8A 01 00 FF 82 04,132
15:52:56.157,4C 8A 01 00 FF 82 04,572
15:52:56.257,4B 8A 01 00 FF 82 04,132
15:52:56.357,4C 8A 01 00 FF 82 04,572
15:52:56.458,4B 8A 01 00 FF 82 04,132
15:52:56.757,4C 8A 01 00 FF 82 04,572
15:52:57.357,4B 8A 01 00 FF 82 04,132
15:52:57.457,4C 8A 01 00 FF 82 04,572
15:52:57.557,4B 8A 01 00 FF 82 04,132
15:52:57.658,4C 8A 01 00 FF 82 04,572
15:52:57.858,4B 8A 01 00 FF 82 04,132
15:52:57.957,4C 8A 01 00 FF 82 04,572
15:52:58.059,4B 8A 01 00 FF 82 04,132
15:52:58.258,4C 8A 01 00 FF 82 04,572
15:52:58.459,4B 8A 01 00 FF 82 04,132
15:52:58.557,4C 8A 01 00 FF 82 04,572
15:52:59.458,4B 8A 01 00 FF 82 04,132
15:52:59.659,4C 8A 01 00 FF 82 04,572
15:53:00.859,4B 8A 01 00 FF 82 04,132
15:53:00.959,4C 8A 01 00 FF 82 04,572
15:53:02.460,4B 8A 01 00 FF 82 04,132
15:53:02.659,4C 8A 01 00 FF 82 04,572
15:53:02.959,4B 8A 01 00 FF 82 04,132
15:53:03.260,4C 8A 01 00 FF 82 04,572
15:53:04.061,4B 8A 01 00 FF 82 04,132
