Time,Payload,Payload_Occurrences
15:52:05.475,00 35 59 4A 53 41 37 45,5
15:53:05.483,01 32 38 48 46 32 31 37,5
15:55:05.481,00 35 59 4A 53 41 37 45,5
15:56:05.487,01 32 38 48 46 32 31 37,5
15:57:05.486,02 39 35 30 42 44 59 37,4
15:58:05.488,00 35 59 4A 53 41 37 45,5
15:59:05.491,01 32 38 48 46 32 31 37,5
16:00:05.492,02 39 35 30 42 44 59 37,4
16:01:05.503,00 35 59 4A 53 41 37 45,5
16:02:05.499,01 32 38 48 46 32 31 37,5
16:03:05.502,02 39 35 30 42 44 59 37,4
16:05:05.504,01 32 38 48 46 32 31 37,5
16:06:05.504,02 39 35 30 42 44 59 37,4
16:07:05.506,00 35 59 4A 53 41 37 45,5
