Time,Payload,Payload_Occurrences
15:52:02.585,10 00 00 06 00 FF FF 00,6969
15:52:29.286,10 00 01 06 00 FF FF 00,16
15:52:30.187,10 00 00 06 00 FF FF 00,6969
15:52:37.786,10 00 02 06 00 FF FF 00,9
15:52:38.686,10 00 00 06 00 FF FF 00,6969
15:52:42.086,10 00 01 06 00 FF FF 00,16
15:52:42.787,10 00 00 06 00 FF FF 00,6969
15:54:45.591,10 00 00 86 00 FF FF 00,16
15:54:46.391,10 00 00 06 00 FF FF 00,6969
15:54:56.092,10 00 00 46 00 FF FF 00,17
15:54:56.892,10 00 00 06 00 FF FF 00,6969
15:55:01.591,10 00 00 86 00 FF FF 00,16
15:55:02.391,10 00 00 06 00 FF FF 00,6969
15:55:09.591,10 00 00 46 00 FF FF 00,17
15:55:10.492,10 00 00 06 00 FF FF 00,6969
15:58:13.999,00 00 00 06 00 FF FF 00,312
15:58:45.200,10 00 00 06 00 FF FF 00,6969
16:00:33.806,14 00 00 06 00 FF FF 00,13
16:00:34.504,10 00 00 06 00 FF FF 00,6969
16:00:45.406,14 00 00 06 00 FF FF 00,13
16:00:46.005,10 00 00 06 00 FF FF 00,6969
