Time,Payload,Payload_Occurrences
15:52:02.560,70 00 80 80 00,14233
15:52:37.822,30 00 80 80 00,50
15:52:37.972,20 00 80 80 00,75
15:52:38.072,50 00 80 80 00,101
15:52:38.373,70 00 80 80 00,14233
15:58:12.886,00 00 80 80 00,44
15:58:12.987,60 00 80 80 00,95
15:58:13.233,10 00 80 80 00,65
15:58:13.336,50 00 80 80 00,101
15:58:13.536,30 00 80 80 00,50
15:58:13.687,20 00 80 80 00,75
15:58:13.787,70 00 80 80 00,14233
15:58:14.387,00 00 80 80 00,44
15:58:14.487,60 00 80 80 00,95
15:58:14.687,10 00 80 80 00,65
15:58:14.836,50 00 80 80 00,101
15:58:15.036,30 00 80 80 00,50
15:58:15.136,20 00 80 80 00,75
15:58:15.287,70 00 80 80 00,14233
15:58:15.887,00 00 80 80 00,44
15:58:15.987,60 00 80 80 00,95
15:58:16.187,10 00 80 80 00,65
15:58:16.337,50 00 80 80 00,101
15:58:16.537,30 00 80 80 00,50
15:58:16.637,20 00 80 80 00,75
15:58:16.787,70 00 80 80 00,14233
15:58:17.387,00 00 80 80 00,44
15:58:17.487,60 00 80 80 00,95
15:58:17.687,10 00 80 80 00,65
15:58:17.838,50 00 80 80 00,101
15:58:18.038,30 00 80 80 00,50
15:58:18.138,20 00 80 80 00,75
15:58:18.288,70 00 80 80 00,14233
15:58:18.888,00 00 80 80 00,44
15:58:18.988,60 00 80 80 00,95
15:58:19.188,10 00 80 80 00,65
15:58:19.338,50 00 80 80 00,101
15:58:19.538,30 00 80 80 00,50
15:58:19.638,20 00 80 80 00,75
15:58:19.788,70 00 80 80 00,14233
15:58:20.388,00 00 80 80 00,44
15:58:20.488,60 00 80 80 00,95
15:58:20.688,10 00 80 80 00,65
15:58:20.838,50 00 80 80 00,101
15:58:21.039,30 00 80 80 00,50
15:58:21.140,20 00 80 80 00,75
15:58:21.288,70 00 80 80 00,14233
15:58:21.889,00 00 80 80 00,44
15:58:21.989,60 00 80 80 00,95
15:58:22.189,10 00 80 80 00,65
15:58:22.340,50 00 80 80 00,101
15:58:22.540,30 00 80 80 00,50
15:58:22.640,20 00 80 80 00,75
15:58:22.789,70 00 80 80 00,14233
15:58:23.390,00 00 80 80 00,44
15:58:23.490,60 00 80 80 00,95
15:58:23.690,10 00 80 80 00,65
15:58:23.840,50 00 80 80 00,101
15:58:24.040,30 00 80 80 00,50
15:58:24.140,20 00 80 80 00,75
15:58:24.290,70 00 80 80 00,14233
15:58:24.891,00 00 80 80 00,44
15:58:24.990,60 00 80 80 00,95
15:58:25.190,10 00 80 80 00,65
15:58:25.341,50 00 80 80 00,101
15:58:25.541,30 00 80 80 00,50
15:58:25.641,20 00 80 80 00,75
15:58:25.790,70 00 80 80 00,14233
15:58:26.390,00 00 80 80 00,44
15:58:26.491,60 00 80 80 00,95
15:58:26.691,10 00 80 80 00,65
15:58:26.841,50 00 80 80 00,101
15:58:27.041,30 00 80 80 00,50
15:58:27.141,20 00 80 80 00,75
15:58:27.291,70 00 80 80 00,14233
15:58:27.891,00 00 80 80 00,44
15:58:27.991,60 00 80 80 00,95
15:58:28.191,10 00 80 80 00,65
15:58:28.342,50 00 80 80 00,101
15:58:28.542,30 00 80 80 00,50
15:58:28.642,20 00 80 80 00,75
15:58:28.791,70 00 80 80 00,14233
15:58:29.391,00 00 80 80 00,44
15:58:29.491,60 00 80 80 00,95
15:58:29.692,10 00 80 80 00,65
15:58:29.842,50 00 80 80 00,101
15:58:30.042,30 00 80 80 00,50
15:58:30.142,20 00 80 80 00,75
15:58:30.292,70 00 80 80 00,14233
15:58:30.892,00 00 80 80 00,44
15:58:30.992,60 00 80 80 00,95
15:58:31.192,10 00 80 80 00,65
15:58:31.343,50 00 80 80 00,101
15:58:31.542,30 00 80 80 00,50
15:58:31.643,20 00 80 80 00,75
15:58:31.792,70 00 80 80 00,14233
15:58:32.392,00 00 80 80 00,44
15:58:32.492,60 00 80 80 00,95
15:58:32.692,10 00 80 80 00,65
15:58:32.843,50 00 80 80 00,101
15:58:33.043,30 00 80 80 00,50
15:58:33.143,20 00 80 80 00,75
15:58:33.293,70 00 80 80 00,14233
15:58:33.893,00 00 80 80 00,44
15:58:33.993,60 00 80 80 00,95
15:58:34.193,10 00 80 80 00,65
15:58:34.343,50 00 80 80 00,101
15:58:34.543,30 00 80 80 00,50
15:58:34.643,20 00 80 80 00,75
15:58:34.793,70 00 80 80 00,14233
15:58:35.393,00 00 80 80 00,44
15:58:35.493,60 00 80 80 00,95
15:58:35.693,10 00 80 80 00,65
15:58:35.844,50 00 80 80 00,101
15:58:36.044,30 00 80 80 00,50
15:58:36.144,20 00 80 80 00,75
