Time,Payload,Payload_Occurrences
15:52:02.555,50 03,7150
16:00:34.074,24 03,47
16:00:38.777,20 03,6
16:00:39.378,40 03,58
16:00:42.680,44 03,3
16:00:42.981,40 03,58
16:00:45.483,34 03,46
16:00:50.087,64 03,3
16:00:50.387,60 03,18
16:00:52.189,50 03,7150
