ID (hex),DLC,Data (hex),ASCII,Adjusted_Time
541,8,91 26 00 01 00 00 00 00,.&......,15:52:35.064
108,1,1,.,15:52:35.065
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.066
23A,8,10 02 ED 70 0C E9 20 32,...p.. 2,15:52:35.067
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.068
213,4,02 01 90 00,....,15:52:35.069
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.070
234,2,00 00,..,15:52:35.070
23E,5,70 00 80 80 00,p....,15:52:35.071
403,1,1,.,15:52:35.072
50A,4,00 01 00 00,....,15:52:35.072
541,8,82 6A 08 3C 85 0D 00 00,.j.<....,15:52:35.074
230,8,00 00 00 00 00 00 00 00,........,15:52:35.077
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.078
108,1,1,.,15:52:35.079
509,4,00 00 00 00,....,15:52:35.082
20D,2,50 03,P.,15:52:35.082
40B,1,0,.,15:52:35.083
541,8,B3 EA 0C 3C 99 0C 00 00,...<....,15:52:35.084
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.085
108,1,1,.,15:52:35.085
20A,6,50 20 05 00 80 00,P ....,15:52:35.087
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.088
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.089
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.090
40A,1,0A,.,15:52:35.090
50B,2,0A 00,..,15:52:35.091
541,8,A4 6A 87 3F C5 F4 A5 02,.j.?....,15:52:35.094
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.095
108,1,1,.,15:52:35.097
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.098
541,8,C5 EA 00 3F E1 54 00 00,...?.T..,15:52:35.104
11B,5,00 40 24 00 80,.@$..,15:52:35.106
50A,4,00 01 00 00,....,15:52:35.107
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.108
108,1,1,.,15:52:35.109
411,8,00 00 10 00 00 00 00 00,........,15:52:35.110
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:35.114
108,1,1,.,15:52:35.116
410,1,A0,.,15:52:35.117
208,8,00 00 00 00 00 00 00 00,........,15:52:35.118
20E,4,00 02 07 02,....,15:52:35.119
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.120
23E,5,70 00 80 80 00,p....,15:52:35.120
407,1,0,.,15:52:35.121
209,6,50 20 05 00 80 00,P ....,15:52:35.122
219,2,00 00,..,15:52:35.123
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.123
309,2,00 00,..,15:52:35.124
409,1,0,.,15:52:35.124
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.125
108,1,1,.,15:52:35.126
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.127
509,4,00 00 00 00,....,15:52:35.128
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.129
50E,2,0A 00,..,15:52:35.129
519,8,00 00 00 00 12 02 00 0E,........,15:52:35.130
541,8,C7 6A 00 3D BD 54 00 00,.j.=.T..,15:52:35.131
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.132
541,8,98 6A 00 3B D1 54 00 00,.j.,15:52:35.134
21A,2,00 00,..,15:52:35.137
108,1,1,.,15:52:35.137
223,2,55 55,UU,15:52:35.138
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.139
38F,2,01 FF,..,15:52:35.139
20F,8,FF 01 04 00 00 3E 63 B6,.....>c.,15:52:35.143
541,8,39 00 00 00 08 00 00 00,9.......,15:52:35.144
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.145
290,8,01 B8 1F 55 3B 1B 00 00,...U,15:52:35.146
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.147
108,1,1,.,15:52:35.147
228,8,00 00 00 00 00 00 00 00,........,15:52:35.148
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.149
404,1,1,.,15:52:35.150
50A,4,00 01 00 00,....,15:52:35.150
292,8,40 21 00 00 00 00 E0 08,@!......,15:52:35.154
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:35.155
408,1,4,.,15:52:35.155
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.158
108,1,1,.,15:52:35.159
509,4,00 00 00 00,....,15:52:35.162
541,8,AB EA FF 00 00 00 00 00,........,15:52:35.164
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.165
108,1,1,.,15:52:35.165
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.166
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.168
213,4,02 01 90 00,....,15:52:35.169
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.170
234,2,00 00,..,15:52:35.170
23E,5,70 00 80 80 00,p....,15:52:35.171
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.172
403,1,1,.,15:52:35.172
541,8,0C 00 06 00 00 00 00 00,........,15:52:35.174
230,8,01 00 00 00 00 00 00 00,........,15:52:35.177
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:35.178
108,1,1,.,15:52:35.178
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.179
30F,1,1,.,15:52:35.180
33F,1,4,.,15:52:35.180
36F,8,02 00 F9 71 0F 00 3B 02,...q..,15:52:35.181
20D,2,50 03,P.,15:52:35.182
40B,1,0,.,15:52:35.183
541,8,0D 3B 01 00 00 00 00 00,.,15:52:35.184
108,1,1,.,15:52:35.185
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.186
20A,6,50 20 05 00 80 00,P ....,15:52:35.187
23A,8,10 02 ED 70 0C E9 20 32,...p.. 2,15:52:35.188
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.189
40A,1,0,.,15:52:35.190
50A,4,00 01 00 00,....,15:52:35.190
50B,2,0A 00,..,15:52:35.191
541,8,2E 9C A3 09 00 00 00 00,........,15:52:35.194
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.195
108,1,1,.,15:52:35.196
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.198
509,4,00 00 00 00,....,15:52:35.202
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:35.204
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.205
11B,5,00 40 34 00 90,.@4..,15:52:35.207
108,1,1,.,15:52:35.208
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.209
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:35.210
411,8,00 00 10 00 00 00 00 00,........,15:52:35.211
541,8,91 26 00 01 00 00 00 00,.&......,15:52:35.214
108,1,1,.,15:52:35.215
410,1,B0,.,15:52:35.216
208,8,00 00 00 00 00 00 00 00,........,15:52:35.217
23E,5,70 00 80 80 00,p....,15:52:35.218
20E,4,00 02 07 02,....,15:52:35.218
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.219
407,1,5,.,15:52:35.220
209,6,50 20 05 00 80 00,P ....,15:52:35.222
219,2,00 00,..,15:52:35.223
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.223
409,1,0A,.,15:52:35.224
50E,2,0A 00,..,15:52:35.224
541,8,82 2A 09 3C 89 0D 00 00,.*.<....,15:52:35.225
108,1,1,.,15:52:35.226
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.227
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.228
50A,4,00 01 00 00,....,15:52:35.229
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.232
541,8,B3 6A 0C 3D 99 0C 00 00,.j.=....,15:52:35.234
21A,2,00 00,..,15:52:35.237
108,1,1,.,15:52:35.237
223,2,55 55,UU,15:52:35.238
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.239
512,8,0A 86 02 C5 B9 96 55 AC,......U.,15:52:35.240
513,8,0A 86 02 C5 B9 96 55 AC,......U.,15:52:35.240
509,4,00 00 00 00,....,15:52:35.242
20F,8,FF 01 04 00 00 3E 73 C6,.....>s.,15:52:35.243
541,8,A4 AA 87 3F BD F4 A5 02,...?....,15:52:35.244
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.245
290,8,01 B8 FF 54 3B 16 00 00,...T,15:52:35.246
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.247
108,1,1,.,15:52:35.247
228,8,00 00 00 00 00 00 00 00,........,15:52:35.248
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.249
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.250
404,1,1,.,15:52:35.251
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.252
292,8,40 21 00 00 00 00 F0 C5,@!......,15:52:35.254
541,8,C5 EA 00 3F E1 54 00 00,...?.T..,15:52:35.255
408,1,5,.,15:52:35.255
108,1,1,.,15:52:35.258
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.259
541,8,C6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:35.264
50A,4,00 01 00 00,....,15:52:35.267
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.268
213,4,02 01 90 00,....,15:52:35.269
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.269
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.270
108,1,1,.,15:52:35.271
234,2,00 00,..,15:52:35.271
23E,5,70 00 80 80 00,p....,15:52:35.272
403,1,0B,.,15:52:35.273
541,8,C7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:35.274
230,8,02 00 00 00 00 00 00 00,........,15:52:35.277
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.278
108,1,1,.,15:52:35.279
509,4,00 00 00 00,....,15:52:35.282
20D,2,50 03,P.,15:52:35.282
40B,1,0,.,15:52:35.283
50D,8,00 20 04 09 06 00 00 03,. ......,15:52:35.284
541,8,98 6A 00 3B D5 54 00 00,.j.,15:52:35.285
108,1,1,.,15:52:35.285
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.286
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.287
20A,6,50 20 05 00 80 00,P ....,15:52:35.288
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.289
40A,1,0,.,15:52:35.289
50B,2,0A 00,..,15:52:35.290
541,8,39 00 00 00 08 00 00 00,9.......,15:52:35.294
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.295
108,1,1,.,15:52:35.296
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:35.297
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.298
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:35.304
11B,5,00 40 44 00 A0,.@D..,15:52:35.306
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:35.307
50A,4,00 01 00 00,....,15:52:35.308
108,1,1,.,15:52:35.308
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.309
411,8,00 00 10 00 00 00 00 00,........,15:52:35.310
541,8,AB EA FF 00 00 00 00 00,........,15:52:35.314
108,1,1,.,15:52:35.316
410,1,C0,.,15:52:35.317
208,8,00 00 00 00 00 00 00 00,........,15:52:35.318
20E,4,00 02 07 02,....,15:52:35.319
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.320
23E,5,70 00 80 80 00,p....,15:52:35.320
407,1,0,.,15:52:35.321
209,6,50 20 05 00 80 00,P ....,15:52:35.322
219,2,00 00,..,15:52:35.323
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.324
409,1,0,.,15:52:35.324
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.325
509,4,00 00 00 00,....,15:52:35.326
50E,2,0A 00,..,15:52:35.326
541,8,0C 00 06 00 00 00 00 00,........,15:52:35.327
108,1,1,.,15:52:35.328
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.329
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.330
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.331
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.332
258,2,00 00,..,15:52:35.333
541,8,0D 3B 01 00 00 00 00 00,.,15:52:35.334
21A,2,00 00,..,15:52:35.337
108,1,1,.,15:52:35.337
223,2,55 55,UU,15:52:35.338
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.339
20F,8,FF 01 04 00 00 3E 83 D6,.....>..,15:52:35.343
541,8,3E 9C A3 09 00 00 00 00,>.......,15:52:35.344
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.345
290,8,01 B8 1F 55 3B 1F 00 00,...U,15:52:35.346
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.347
228,8,00 00 00 00 00 00 00 00,........,15:52:35.348
108,1,1,.,15:52:35.348
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.349
361,5,07 02 03 00 00,.....,15:52:35.350
404,1,1,.,15:52:35.350
50A,4,00 01 00 00,....,15:52:35.351
292,8,40 21 00 00 00 00 00 BA,@!......,15:52:35.354
541,8,A0 2A 00 02 00 00 00 00,.*......,15:52:35.355
408,1,4,.,15:52:35.355
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.358
108,1,1,.,15:52:35.359
509,4,00 00 00 00,....,15:52:35.362
541,8,91 26 00 01 00 00 00 00,.&......,15:52:35.364
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.365
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.367
108,1,1,.,15:52:35.368
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.369
213,4,02 01 90 00,....,15:52:35.369
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.370
234,2,00 00,..,15:52:35.371
23E,5,70 00 80 80 00,p....,15:52:35.372
403,1,1,.,15:52:35.372
541,8,72 EA 08 3C 85 0D 00 00,r..<....,15:52:35.374
230,8,00 00 00 00 00 00 00 00,........,15:52:35.377
108,1,1,.,15:52:35.377
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.378
20D,2,50 03,P.,15:52:35.382
40B,1,0A,.,15:52:35.383
541,8,A3 AA 0C 3C 99 0C 00 00,...<....,15:52:35.384
20A,6,50 20 05 00 80 00,P ....,15:52:35.387
108,1,1,.,15:52:35.388
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.389
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.390
40A,1,0,.,15:52:35.390
50A,4,00 01 00 00,....,15:52:35.391
50B,2,0A 00,..,15:52:35.391
541,8,84 AA 87 3F BD F4 A5 02,...?....,15:52:35.394
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.395
108,1,1,.,15:52:35.395
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.398
509,4,00 00 00 00,....,15:52:35.402
541,8,B5 EA 00 3F DD 54 00 00,...?.T..,15:52:35.404
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.405
11B,5,00 40 54 00 B0,.@T..,15:52:35.407
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.408
11B,5,00 40 54 00 B0,.@T..,15:52:35.409
108,1,1,.,15:52:35.409
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.410
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:35.411
411,8,00 00 10 00 00 00 00 00,........,15:52:35.412
541,8,B6 6A 00 3E DD 54 00 00,.j.>.T..,15:52:35.414
108,1,1,.,15:52:35.416
410,1,D0,.,15:52:35.417
208,8,00 00 00 00 00 00 00 00,........,15:52:35.418
20E,4,00 02 07 02,....,15:52:35.418
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.419
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:35.420
23E,5,70 00 80 80 00,p....,15:52:35.421
407,1,0,.,15:52:35.422
209,6,50 20 05 00 80 00,P ....,15:52:35.422
219,2,00 00,..,15:52:35.423
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.424
409,1,0,.,15:52:35.424
50E,2,0A 00,..,15:52:35.425
541,8,B7 6A 00 3D B1 54 00 00,.j.=.T..,15:52:35.426
23A,8,10 02 ED 70 0C E9 20 32,...p.. 2,15:52:35.427
108,1,1,.,15:52:35.428
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.429
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.430
50A,4,00 01 00 00,....,15:52:35.430
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.432
541,8,88 6A 00 3B D1 54 00 00,.j.,15:52:35.434
21A,2,00 00,..,15:52:35.437
223,2,55 55,UU,15:52:35.437
108,1,1,.,15:52:35.438
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.439
509,4,00 00 00 00,....,15:52:35.442
20F,8,FF 01 04 00 00 3E 93 E6,.....>..,15:52:35.443
541,8,39 00 00 00 08 00 00 00,9.......,15:52:35.444
290,8,01 B8 FF 54 3B 1F 00 00,...T,15:52:35.445
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.446
228,8,00 00 00 00 00 00 00 00,........,15:52:35.447
108,1,1,.,15:52:35.447
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.448
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.449
314,4,FF 00 01 01,....,15:52:35.450
404,1,0B,.,15:52:35.450
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.451
514,8,00 00 00 00 18 01 00 22,".......""",15:52:35.452
3000000000,8,01 04 00 00 00 00 B0 A1,........,15:52:35.454
292,8,40 21 00 00 00 00 10 77,@!.....w,15:52:35.455
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:35.456
408,1,4,.,15:52:35.457
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.458
108,1,1,.,15:52:35.459
541,8,AB EA FF 00 00 00 00 00,........,15:52:35.464
108,1,1,.,15:52:35.465
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.466
50A,4,00 01 00 00,....,15:52:35.467
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.468
213,4,02 01 90 00,....,15:52:35.469
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.470
234,2,00 00,..,15:52:35.470
23E,5,70 00 80 80 00,p....,15:52:35.471
403,1,1,.,15:52:35.471
541,8,0C 00 06 00 00 00 00 00,........,15:52:35.474
230,8,01 00 00 00 00 00 00 00,........,15:52:35.477
108,1,1,.,15:52:35.478
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.479
509,4,00 00 00 00,....,15:52:35.482
20D,2,50 03,P.,15:52:35.482
40B,1,0,.,15:52:35.483
541,8,0D 3B 01 00 00 00 00 00,.,15:52:35.484
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.485
108,1,1,.,15:52:35.485
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.486
20A,6,50 20 05 00 80 00,P ....,15:52:35.487
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.488
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.489
40A,1,0,.,15:52:35.490
50B,2,0A 00,..,15:52:35.490
541,8,2E 9C A2 09 00 00 00 00,........,15:52:35.494
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.495
108,1,1,.,15:52:35.496
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.498
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:35.504
50A,4,00 01 00 00,....,15:52:35.507
11B,5,00 40 64 00 C0,.@d..,15:52:35.508
108,1,1,.,15:52:35.508
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.509
411,8,00 00 10 00 00 00 00 00,........,15:52:35.510
541,8,91 26 00 01 00 00 00 00,.&......,15:52:35.514
410,1,E0,.,15:52:35.516
108,1,1,.,15:52:35.516
208,8,00 00 00 00 00 00 00 00,........,15:52:35.517
23E,5,70 00 80 80 00,p....,15:52:35.518
20E,4,00 02 07 02,....,15:52:35.519
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.520
407,1,0,.,15:52:35.520
209,6,50 20 05 00 80 00,P ....,15:52:35.522
219,2,00 00,..,15:52:35.523
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.524
409,1,0,.,15:52:35.524
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.525
108,1,1,.,15:52:35.525
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.526
509,4,00 00 00 00,....,15:52:35.527
50E,2,0A 00,..,15:52:35.528
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.529
541,8,72 2A 08 3C 89 0D 00 00,r*.<....,15:52:35.530
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.532
541,8,A3 AA 0C 3C 99 0C 00 00,...<....,15:52:35.534
108,1,1,.,15:52:35.537
21A,2,00 00,..,15:52:35.537
223,2,55 55,UU,15:52:35.538
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.539
22A,8,10 02 ED 70 0D 3D 20 32,...p.= 2,15:52:35.540
20F,8,FF 01 04 00 00 3E A3 F6,.....>..,15:52:35.543
541,8,A4 AA 87 3F BD 34 A6 02,...?.4..,15:52:35.544
290,8,01 B8 FF 54 3B 1E 00 00,...T,15:52:35.545
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.546
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.547
23A,8,10 02 ED 70 0C E8 20 32,...p.. 2,15:52:35.548
108,1,1,.,15:52:35.548
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.549
228,8,00 00 00 00 00 00 00 00,........,15:52:35.550
404,1,1,.,15:52:35.551
50A,4,00 01 00 00,....,15:52:35.551
292,8,40 21 00 00 00 00 20 3D,@!.... =,15:52:35.554
541,8,B5 EA 00 3F DD 54 00 00,...?.T..,15:52:35.555
408,1,4,.,15:52:35.555
108,1,1,.,15:52:35.557
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.559
509,4,00 00 00 00,....,15:52:35.562
541,8,C6 6A 00 3E D5 54 00 00,.j.>.T..,15:52:35.564
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.565
108,1,1,.,15:52:35.565
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.566
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.568
213,4,02 01 90 00,....,15:52:35.569
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.570
234,2,00 00,..,15:52:35.570
23E,5,70 00 80 80 00,p....,15:52:35.571
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.572
403,1,1,.,15:52:35.572
541,8,B7 6A 00 3D B9 54 00 00,.j.=.T..,15:52:35.574
230,8,02 00 00 00 00 00 00 00,........,15:52:35.577
108,1,1,.,15:52:35.578
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.579
20D,2,50 03,P.,15:52:35.582
40B,1,0,.,15:52:35.583
541,8,88 6A 00 3B D1 54 00 00,.j.,15:52:35.584
108,1,1,.,15:52:35.585
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.586
20A,6,50 20 05 00 80 00,P ....,15:52:35.587
40A,1,0,.,15:52:35.588
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.589
50A,4,00 01 00 00,....,15:52:35.589
50B,2,0A 00,..,15:52:35.590
541,8,39 00 00 00 08 00 00 00,9.......,15:52:35.594
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.595
108,1,1,.,15:52:35.597
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.599
509,4,00 00 00 00,....,15:52:35.602
541,8,7A 1C 00 40 05 00 00 00,z..@....,15:52:35.604
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.605
11B,5,00 40 74 00 D0,.@t..,15:52:35.607
11B,5,00 40 74 00 D0,.@t..,15:52:35.608
108,1,1,.,15:52:35.608
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.609
22E,8,01 50 FF FF 00 00 00 00,.P......,15:52:35.610
411,8,00 00 10 00 00 00 00 00,........,15:52:35.611
541,8,AB EA FF 00 00 00 00 00,........,15:52:35.614
23E,5,70 00 80 80 00,p....,15:52:35.618
20E,4,00 02 07 02,....,15:52:35.618
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.619
407,1,0,.,15:52:35.620
108,1,1,.,15:52:35.620
410,1,F0,.,15:52:35.621
208,8,00 00 00 00 00 00 00 00,........,15:52:35.622
209,6,50 20 05 00 80 00,P ....,15:52:35.623
219,2,00 00,..,15:52:35.623
229,8,10 02 ED 70 0C 6D 20 32,...p.m 2,15:52:35.624
409,1,0,.,15:52:35.625
50E,2,0A 00,..,15:52:35.625
541,8,0C 00 06 00 00 00 00 00,........,15:52:35.626
108,1,1,.,15:52:35.627
238,8,07 00 00 C0 00 00 00 00,........,15:52:35.628
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.629
50A,4,00 01 00 00,....,15:52:35.629
239,8,10 02 ED 70 0C C5 20 32,...p.. 2,15:52:35.632
541,8,0D 3B 01 00 00 00 00 00,.,15:52:35.634
21A,2,00 00,..,15:52:35.637
223,2,55 55,UU,15:52:35.637
108,1,1,.,15:52:35.638
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.639
509,4,00 00 00 00,....,15:52:35.642
20F,8,FF 01 04 00 00 3E B3 06,.....>..,15:52:35.643
541,8,2E 9C A2 09 00 00 00 00,........,15:52:35.644
290,8,01 B8 EF 54 3B 01 00 00,...T,15:52:35.645
108,1,1,.,15:52:35.645
214,7,00 00 7F 7F 41 14 FF,..A..,15:52:35.646
228,8,00 00 00 00 00 00 00 00,........,15:52:35.647
240,8,62 64 00 00 00 00 00 00,bd......,15:52:35.648
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.649
304,7,4B 8B 01 00 FF 82 04,K......,15:52:35.650
404,1,1,.,15:52:35.651
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.652
292,8,40 21 00 00 00 00 30 F0,@!....0.,15:52:35.654
541,8,B0 2A 00 02 00 00 00 00,.*......,15:52:35.655
408,1,4,.,15:52:35.656
22A,8,10 02 ED 70 0D 3E 20 32,...p.> 2,15:52:35.657
108,1,1,.,15:52:35.658
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.659
541,8,91 26 00 01 00 00 00 00,.&......,15:52:35.664
108,1,1,.,15:52:35.666
218,8,00 00 C0 00 B2 4A 33 00,.....J3.,15:52:35.667
203,8,50 22 00 93 00 01 57 FF,"P""....W.",15:52:35.668
213,4,02 01 90 00,....,15:52:35.669
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.670
234,2,00 00,..,15:52:35.670
23A,8,10 02 ED 70 0C E9 20 32,...p.. 2,15:52:35.671
23E,5,70 00 80 80 00,p....,15:52:35.672
403,1,1,.,15:52:35.673
50A,4,00 01 00 00,....,15:52:35.673
541,8,82 EA 08 3C 85 0D 00 00,...<....,15:52:35.674
230,8,00 00 00 00 00 00 00 00,........,15:52:35.677
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.679
108,1,1,.,15:52:35.679
509,4,00 00 00 00,....,15:52:35.682
20D,2,50 03,P.,15:52:35.683
40B,1,0,.,15:52:35.683
541,8,A3 AA 0C 3C 95 0C 00 00,...<....,15:52:35.684
504,8,05 10 40 00 00 82 00 05,..@.....,15:52:35.685
108,1,1,.,15:52:35.685
248,8,10 00 00 06 00 FF FF 00,........,15:52:35.686
20A,6,50 20 05 00 80 00,P ....,15:52:35.687
40A,1,0,.,15:52:35.688
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.689
50B,2,0A 00,..,15:52:35.689
541,8,94 2A 87 3F C5 F4 A5 02,.*.?....,15:52:35.694
290,8,00 04 A0 00 6A 90 00 00,....j...,15:52:35.695
108,1,1,.,15:52:35.695
21E,8,00 00 00 00 00 00 00 00,........,15:52:35.699
