ID_(dec),ID_(hex),Occurrences,Payload_Changes
264,108,69537,9
515,203,7418,13
520,208,7313,18
521,209,7409,18
522,20A,7340,18
525,20D,7331,9
531,213,7401,3
532,214,7417,25
547,223,7353,5
564,234,7341,6
568,238,7368,9
576,240,9183,4
584,248,7352,20
600,258,1444,2
792,318,1,0
863,35F,1,0
865,361,730,14
936,3A8,1,0
1291,50B,7023,8
1294,50E,6943,8
1298,512,704,4
1299,513,702,4
1352,548,165,4
1384,568,14,13
1400,578,3,2
